Date;Revenue/Expenditure;Sector;Value in Million Saudi Riyals
2016;Revenues;Non-oil Revenues;185749.0
2016;Expenditures;Economic Resources;38504.0
2016;Expenditures;Military;206467.0
2016;Expenditures;Public Administration;26949.0
2017;Revenues;Non-oil Revenues;255605.0
2017;Expenditures;Municipality Service;54929.0
2018;Revenues;Oil Revenues;611239.0
2018;Expenditures;Health & Social Development;175487.0
2018;Expenditures;Infrastructure and Transport;48596.0
2018;Expenditures;Municipality Service;45924.0
2019;Revenues;Total Revenues;926846.0
2019;Expenditures;Infrastructure and Transport;58595.45
2019;Expenditures;Municipality Service;49898.39
2019;Expenditures;Total Expenditure;1059444.93
2019;Expenditures;Deficit / Surplus ( Expected );-132598.93
2020;Revenues;Oil Revenues;413049.0
2020;Revenues;Total Revenues;781834.0
2020;Expenditures;Health & Social Development;190372.156194418
2020;Expenditures;Military;204125.27454981
2020;Expenditures;Total Expenditure;1075734.35090337
2021;Expenditures;Health & Social Development;197199.56357517
2021;Expenditures;Infrastructure and Transport;50993.08781484
2021;Expenditures;Municipality Service;38562.73997091
2021;Expenditures;Total Expenditure;1038933.07508772
2021;Expenditures;Deficit / Surplus ( Expected );-73447.0750877226
2023;Expenditures;Public Administration;47925.513326545
2023;Expenditures;Deficit / Surplus ( Expected );-80946.49116594
2024;Expenditures;Military;236664.34439917
2025;Revenues;Oil Revenues;606544.06517405
2025;Expenditures;Health & Social Development;278877.91812863
2025;Expenditures;Total Expenditure;1388431.64497569
2016;Revenues;Total Revenues;519448.0
2016;Expenditures;Infrastructure and Transport;37835.0
2017;Revenues;Oil Revenues;435900.0
2017;Revenues;Total Revenues;691505.0
2017;Expenditures;Education;207426.0
2017;Expenditures;Health & Social Development;134453.0
2017;Expenditures;Military;227623.0
2017;Expenditures;Public Administration;29767.0
2017;Expenditures;General Items;84710.0
2017;Expenditures;Security and Regional Administration;108397.0
2017;Expenditures;Total Expenditure;929997.0
2017;Expenditures;Deficit / Surplus ( Expected );-238492.0
2018;Expenditures;Military;242362.0
2018;Expenditures;Total Expenditure;1079467.0
2018;Expenditures;Deficit / Surplus ( Expected );-173858.0
2019;Revenues;Oil Revenues;594424.0
2019;Expenditures;Security and Regional Administration;113686.6
2021;Revenues;Oil Revenues;562191.0
2021;Expenditures;Military;201891.10282916
2021;Expenditures;Public Administration;34165.2968000726
2021;Expenditures;General Items;146659.31899139
2022;Expenditures;Health & Social Development;226637.0
2022;Expenditures;Infrastructure and Transport;41414.0
2022;Expenditures;Military;228067.0
2022;Expenditures;Public Administration;40867.0
2022;Expenditures;General Items;159137.0
2022;Expenditures;Security and Regional Administration;114696.0
2022;Expenditures;Deficit / Surplus ( Expected );103855.147432885
2023;Revenues;Oil Revenues;754561.766128312
2023;Expenditures;Municipality Service;76992.39606197
2023;Expenditures;Total Expenditure;1293236.09184119
2024;Expenditures;Health & Social Development;272673.65001268
2024;Expenditures;Public Administration;53895.41510437
2024;Expenditures;Security and Regional Administration;126853.2657262
2024;Expenditures;Total Expenditure;1374720.24877316
2024;Expenditures;Deficit / Surplus ( Expected );-115624.813673812
2025;Expenditures;Economic Resources;92493.20887606
2025;Expenditures;Municipality Service;92329.43204695
2025;Expenditures;General Items;235513.92823464
2016;Revenues;Oil Revenues;333699.0
2016;Expenditures;Total Expenditure;830513.0
2016;Expenditures;Deficit / Surplus ( Expected );-311065.0
2017;Expenditures;Economic Resources;47556.0
2017;Expenditures;Infrastructure and Transport;35136.0
2018;Revenues;Non-oil Revenues;294370.0
2018;Expenditures;Security and Regional Administration;113437.0
2019;Revenues;Non-oil Revenues;332422.0
2019;Expenditures;Health & Social Development;190324.87
2019;Expenditures;Public Administration;30928.91
2020;Expenditures;Municipality Service;47346.56873233
2020;Expenditures;Deficit / Surplus ( Expected );-293900.350903371
2021;Expenditures;Economic Resources;71067.76779123
2022;Revenues;Non-oil Revenues;410891.39162156
2023;Revenues;Non-oil Revenues;457727.83454694
2023;Expenditures;Education;209931.79684359
2023;Expenditures;Infrastructure and Transport;40460.07093318
2024;Revenues;Total Revenues;1259095.43509935
2024;Expenditures;Education;203665.24004347
2024;Expenditures;General Items;227681.492409759
2025;Expenditures;Military;249126.74198084
2025;Expenditures;Security and Regional Administration;127381.373103
2016;Expenditures;Health & Social Development;102113.0
2016;Expenditures;General Items;85017.0
2018;Revenues;Total Revenues;905609.0
2018;Expenditures;Education;208993.0
2018;Expenditures;Public Administration;31132.0
2018;Expenditures;General Items;108451.0
2019;Expenditures;Education;202050.12
2019;Expenditures;General Items;112839.83
2020;Expenditures;Infrastructure and Transport;59684.66232481
2020;Expenditures;General Items;156439.35697184
2021;Revenues;Non-oil Revenues;403295.0
2021;Revenues;Total Revenues;965486.0
2021;Expenditures;Education;191908.24778267
2022;Revenues;Oil Revenues;857271.755811325
2023;Revenues;Total Revenues;1212289.60067525
2023;Expenditures;Military;254476.910902102
2023;Expenditures;General Items;207750.11023371
